DateTime,2021 7-day moving average,2021 Number of flights,2020 7-day moving average,2020 Number of flights,2019 7-day moving average,2019 Number of flights
01/01/2021,127803,93897,164362,144067,149020,128717
02/01/2021,126909,120291,165769,175861,150190,162303
03/01/2021,125859,130037,165403,175444,150656,169310
04/01/2021,126436,137935,164985,165733,152503,173386
05/01/2021,125693,138303,166528,172605,153786,161288
06/01/2021,125084,138576,168421,184566,154813,156172
07/01/2021,,,171657,183328,159253,163601
08/01/2021,,,176691,179306,164227,163535
09/01/2021,,,178076,185552,164910,167080
10/01/2021,,,179282,183890,165342,172335
11/01/2021,,,177687,154564,164902,170304
12/01/2021,,,176103,161515,162738,146139
13/01/2021,,,174255,171632,160881,143175
14/01/2021,,,172803,173162,160437,160497
15/01/2021,,,173944,187297,160372,163077
16/01/2021,,,174154,187023,160499,167969
17/01/2021,,,174764,188157,160367,171412
18/01/2021,,,175720,161254,160519,171368
19/01/2021,,,176331,165794,160513,146099
20/01/2021,,,178826,189099,160648,144117
21/01/2021,,,181355,190867,161363,165504
22/01/2021,,,180920,184248,161700,165434
23/01/2021,,,181318,189810,161184,164357
24/01/2021,,,181517,189551,161087,170732
25/01/2021,,,181667,162301,162615,182063
26/01/2021,,,181449,164267,164356,158290
27/01/2021,,,179682,176736,165209,150084
28/01/2021,,,177889,178310,164826,162823
29/01/2021,,,177914,184425,165117,167473
30/01/2021,,,177404,186239,165860,169560
31/01/2021,,,176746,184949,166126,172592
01/02/2021,,,175570,154067,164925,173657
02/02/2021,,,174770,158666,163326,147095
03/02/2021,,,175156,179441,162422,143755
04/02/2021,,,174070,170708,161727,157962
05/02/2021,,,172705,174865,161055,162766
06/02/2021,,,170661,171934,161015,169279
07/02/2021,,,170184,181611,160779,170945
08/02/2021,,,172443,169881,160979,175057
09/02/2021,,,171584,152651,161532,150962
10/02/2021,,,168731,159472,161768,145408
11/02/2021,,,167461,161819,161966,159347
12/02/2021,,,167653,176204,161995,162972
13/02/2021,,,168317,176585,162374,171927
14/02/2021,,,169889,192613,163891,181564
15/02/2021,,,169805,169293,165128,183720
16/02/2021,,,170475,157345,166799,162656
17/02/2021,,,172520,173785,168702,158729
18/02/2021,,,174004,172208,170981,175300
19/02/2021,,,175109,183938,172502,173623
20/02/2021,,,176087,183430,171559,165324
21/02/2021,,,176679,196756,170675,175378
22/02/2021,,,177533,175274,170006,179037
23/02/2021,,,178806,166252,169804,161243
24/02/2021,,,178806,173788,170256,161890
25/02/2021,,,178842,172456,170262,175345
26/02/2021,,,177380,173708,171359,181297
27/02/2021,,,177882,186942,173717,181830
28/02/2021,,,177506,194125,174326,179643
01/03/2021,,,176520,167470,174484,180143
02/03/2021,,,176363,172689,173335,153198
03/03/2021,,,176997,176892,171556,149440
04/03/2021,,,178235,182378,170115,165254
05/03/2021,,,178483,188674,169443,176597
06/03/2021,,,177692,188587,169140,179705
07/03/2021,,,177885,168507,169498,182154
08/03/2021,,,178416,171187,169658,181259
09/03/2021,,,178796,175350,169924,155062
10/03/2021,,,177982,171193,170717,154993
